trial_id,image_name,pred_width_mm,pred_height_mm,confidence,actual_width_mm,actual_height_mm,status
1,1000141687_jpg.rf.4a3a2274e6286be3c8148e850aa366402.jpeg,346.56,236.38,0.958,,,ok
2,1000141740_jpg.rf.388e452eac131b472c27ab4538b38dda.jpeg,348.05,233.72,0.914,,,ok
3,1000141921_jpg.rf.259e18217984733e9007c8b2dd8464dd.jpeg,373.19,286.56,0.973,,,ok
4,1000141939_jpg.rf.5b1980013c9255c57321f63d1afa076f.jpeg,329.83,240.74,0.975,,,ok
5,1000141947_jpg.rf.39619474b3383d7862ff6c48dfe34f4a.jpeg,326.04,239.81,0.975,,,ok
6,IMG20260704134814.jpg.jpeg,346.56,236.38,0.958,,,ok
7,IMG20260704134823.jpg.jpeg,295.64,217.96,0.985,,,ok
8,IMG20260704134828.jpg.jpeg,320.82,282.72,0.972,,,ok
9,IMG20260704134841.jpg.jpeg,329.83,240.74,0.975,,,ok
10,IMG20260704134844.jpg.jpeg,326.04,239.81,0.975,,,ok
11,IMG20260704140907.jpg.jpeg,373.19,286.56,0.973,,,ok
12,IMG20260704185447.jpg.jpeg,325.58,275.81,0.983,,,ok
